epoch,lr,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,0.001,0.9344745557367408,0.6662764445187724,0.607752083831873,0.5093879212285871,0.8212616822429907,0.7671791576725,0.8142476792959709
2,0.001,0.4998509866336644,0.8227276528137805,0.786205254892896,0.4023866809417154,0.8627336448598131,0.8308712383888417,0.8602019255536842
3,0.001,0.41201941117623125,0.8550045990467431,0.8257083061277615,0.32847536849641357,0.8779205607476636,0.8581187727608173,0.878572839426255
4,0.001,0.36976520149955405,0.8698051676561586,0.84191078757131,0.30201260634114807,0.8901869158878505,0.8748003258850097,0.8905394405807933
5,0.001,0.32169900564547715,0.884605736265574,0.860448655963101,0.3124631967778518,0.8820093457943925,0.862593698783785,0.8836856438392656
6,0.001,0.2941374100787712,0.8948908771636425,0.8734204451038239,0.27025957294156616,0.9088785046728972,0.8944100982070253,0.908299999335575
7,0.001,0.25553652791437054,0.9089388744878334,0.8905398729434524,0.3051951002573299,0.8948598130841121,0.878835170032592,0.8910875447673926
8,0.001,0.2383868879563773,0.913119826072414,0.897822655068931,0.2528090467241323,0.9106308411214953,0.8976825215610065,0.9099258530283245
9,0.001,0.22679361368822548,0.9176352537837612,0.9027859619360115,0.24671759881148828,0.9106308411214953,0.8966630076582005,0.9097268263399819
10,0.001,0.20501095574380004,0.9239066811606321,0.9095428987685058,0.22297734391187954,0.9264018691588785,0.9171452551933403,0.926742754764857
11,0.001,0.18409022444396406,0.932352203361485,0.9195148727495934,0.22001863069066377,0.9246495327102804,0.9157050139785315,0.9253070518346134
12,0.001,0.17389151904906744,0.9381219165482064,0.92656931695661,0.21966463564155259,0.9269859813084113,0.9187451770281232,0.9267916660914222
13,0.001,0.15902141464692074,0.9421356300694038,0.9315140011358769,0.2350401787835861,0.919392523364486,0.9064131729031635,0.9199547783450521
14,0.001,0.13649210392013322,0.9512501045237897,0.9424046224508955,0.19967737376132857,0.9304906542056075,0.9196473526995247,0.930361617219387
15,0.001,0.13934627711992217,0.9499122000167238,0.9402514686480782,0.2168619453071434,0.9228971962616822,0.9135832890083486,0.9232213666308527
16,0.001,0.12981329690339483,0.9525043899991638,0.9440598730651446,0.2084214626071609,0.9339953271028038,0.9236976999925537,0.9338993808900193
17,0.001,0.1144852986077529,0.9587758173760348,0.95079236617274,0.198624970339169,0.9328271028037384,0.9262831982806202,0.9331264811499962
18,0.001,0.1036972113446464,0.9636257212141484,0.9574592844454869,0.19216876170624084,0.9375,0.9283975862525649,0.9375957008355938
19,0.001,0.10745064231048974,0.9629567689606154,0.956505812864488,0.1941743472190661,0.9375,0.931631873249888,0.9370753862621075
20,0.001,0.09716455670353516,0.9647963876578309,0.9586470804531109,0.19987715906071885,0.9357476635514018,0.928441483944296,0.934851736033716
21,0.001,0.08471355180542887,0.9687264821473367,0.964330721919517,0.20262854692534865,0.9375,0.9307371894249925,0.9372991664211477
22,0.001,0.07266825475300202,0.9749142904925161,0.9716205628614045,0.1954469035997569,0.9392523364485982,0.933287445146312,0.9389530817177032
23,0.001,0.07208080112202699,0.9733255288903755,0.9695514462041531,0.20099442069218537,0.9351635514018691,0.9288143473437778,0.9348664127834125
24,0.001,0.06721592814201235,0.9776737185383393,0.9732517110983555,0.20500051515681722,0.9310747663551402,0.92297446249128,0.9311408326157498
25,0.001,0.06506267837038088,0.975583242746049,0.9716472393209841,0.23776366652172304,0.9386682242990654,0.9314209774673037,0.9385544405561792
26,0.0005,0.06563640834246703,0.9773392424115729,0.9734141438295842,0.22802467365688253,0.9322429906542056,0.9238356449113316,0.9326689613367977
27,0.0005,0.04992872713290535,0.9827744794715277,0.9808334821401794,0.20823860614099235,0.9421728971962616,0.9354501984128029,0.9423197103928398
28,0.0005,0.04089233634499854,0.9862864788025755,0.9843299117851949,0.20967377457663278,0.9415887850467289,0.934756373731662,0.9415505468485186
29,0.0005,0.04477551726318939,0.9842796220419767,0.9813147185260134,0.20143283527588177,0.9415887850467289,0.9336170978455967,0.9415768884168626
30,0.0005,0.03894692772142922,0.9871226691194916,0.9853429378468714,0.20417189598083496,0.9462616822429907,0.9398086668698806,0.9463305821754378
