epoch,lr,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,0.001,1.1411991516715836,0.5772221757672046,0.5443909237160598,0.6026902878395864,0.7955607476635514,0.7600062791211752,0.7889093197246942
2,0.001,0.696056646879665,0.7473032862279455,0.7080343096341217,0.4420948190109752,0.8417056074766355,0.8125446862174933,0.836373465626087
3,0.001,0.6058791525059495,0.7844301362990217,0.7506967774706228,0.42816016189405853,0.8510514018691588,0.8279885750913996,0.8441094574533545
4,0.001,0.5486277134205767,0.8119407977255624,0.7818450141740934,0.3537791259934969,0.8761682242990654,0.8535756280698038,0.8749484634063184
5,0.001,0.5064664131692544,0.8289154611589598,0.8010830766496497,0.6360118110603261,0.804322429906542,0.7508873273249079,0.7894645169774339
6,0.001,0.4760109718298073,0.8381971736767289,0.8132205229488138,0.3018078639685551,0.8966121495327103,0.8802426216293413,0.8975358891077212
7,0.001,0.4363960916830132,0.8467263149092733,0.8247156867953592,0.27181491617844483,0.907126168224299,0.8963284653364172,0.9071959061182722
8,0.001,0.40693863813908404,0.8620285977088386,0.8416368997677156,0.23920304293387404,0.9158878504672897,0.903497619086401,0.914803805195996
9,0.001,0.40380711907456873,0.8658750731666527,0.8462808903392192,0.27909158309486426,0.9088785046728972,0.9005981478615983,0.9061518083385759
10,0.001,0.3666882601601891,0.8754076427794966,0.8568290058051524,0.24511135933555175,0.9123831775700935,0.9026136152028509,0.9099826623947667
11,0.001,0.36271057750471203,0.877498118571787,0.8596551348388934,0.23527537091313122,0.9316588785046729,0.923058841878284,0.9318064650919191
12,0.001,0.3387863022725472,0.8859436407726399,0.8689848336245807,0.1886841911021794,0.9322429906542056,0.924919842957792,0.9313430022199598
13,0.001,0.3326989312626086,0.887866878501547,0.8709339081544262,0.24197004693690863,0.9077102803738317,0.894012025824171,0.9062525211319391
14,0.001,0.30616327576468205,0.8964796387657831,0.8811852349934894,0.2665359400143133,0.9059579439252337,0.891662867135151,0.9083829767748861
15,0.001,0.300662321548556,0.8986537335897651,0.8847166580791505,0.18780206888914108,0.929322429906542,0.9207887308885427,0.9280626677569168
16,0.001,0.29098062325265556,0.9025002090475792,0.8895583632788888,0.16816207919722406,0.9445093457943925,0.9422587207095448,0.9438157202983504
17,0.001,0.2793847001140179,0.904925160966636,0.8914526141453318,0.20072002834248764,0.923481308411215,0.9179306720127965,0.920087186693135
18,0.001,0.271766393546905,0.9078518270758424,0.8953021744086939,0.18158083158397229,0.9228971962616822,0.9142283885447797,0.9205195155419146
19,0.001,0.266376714414254,0.9108621122167405,0.8991762257308346,0.1909692256807167,0.927570093457944,0.9171297224314342,0.9258439625926692
