run_name,model,loss,augment,weighted_sampler,best_epoch,test_accuracy,test_macro_f1,test_weighted_f1,test_macro_auc_ovr,test_weighted_auc_ovr,test_ece,test_nll,test_brier_score
resnet18_compare,resnet18,ce,True,False,42,0.9701841566793336,0.9686863811085242,0.9702523959142025,0.9981201172175513,0.9979968128248609,0.019757345644670767,0.13307664360951268,0.050643916459784076
improved_cnn_weighted_ce,improved_cnn,weighted_ce,True,False,33,0.9652148494592224,0.9632169126959477,0.9652912807661646,0.9982164612026609,0.9980218315825798,0.0052064594003835615,0.11148022732041685,0.055045135324785624
improved_cnn_ce,improved_cnn,ce,True,False,41,0.9649225372698041,0.9613919876934038,0.965090117886447,0.9983011648725402,0.9980879107798801,0.007863768726602329,0.10683147030218937,0.052069233971865664
simple_cnn_aug_ce,simple_cnn,ce,True,False,27,0.9505992399883075,0.9465901018117122,0.9507848759495079,0.9971997865194049,0.997092484259867,0.008616314474442393,0.15103488643699062,0.0730293768160549
simple_cnn_ce,simple_cnn,ce,False,False,46,0.9456299327681964,0.9401503761273409,0.9459127755992836,0.9958798120682708,0.9958889829837889,0.02867080247203878,0.22911249044371945,0.08738813714984316
