epoch,lr,train_loss,train_accuracy,train_macro_f1,train_macro_auc_ovr,train_ece,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_macro_auc_ovr,val_ece
19,0.001,0.17077664922926275,0.9385400117066645,0.9282503747164008,0.9963965883356304,0.007715974841065121,0.16008940290346324,0.9398364485981309,0.93224224552442,0.9394100112805737,0.9966966307696348,0.01168851034215248
20,0.001,0.16765048429687662,0.9390417258968141,0.9287209458658328,0.9964138112566374,0.0060445570469197475,0.160880379657322,0.9421728971962616,0.9347053241346917,0.9423651984953317,0.997068573013552,0.011132378699652458
21,0.001,0.16538263477702156,0.9423028681327871,0.9338382099277078,0.9965194282074216,0.007016051266057766,0.14670004479795973,0.9538551401869159,0.9479706659221518,0.9539453175417948,0.9971255526160024,0.010005638030682218
22,0.001,0.1444987498135937,0.9484906764779664,0.9395113003684246,0.9973280555613044,0.00784968738415831,0.1450034101432729,0.9480140186915887,0.9410703046971806,0.9479566499135742,0.9971991458325313,0.009315106275020696
23,0.001,0.14465813240367653,0.9515009616188644,0.9448849390193925,0.9973050598986113,0.008715053082384999,0.15603287671213953,0.945677570093458,0.9387896582780038,0.9457643499274059,0.9970113005983766,0.014448141911142453
24,0.001,0.1434414598535401,0.9488251526047329,0.9409213358180306,0.9974287469071914,0.007355821139089829,0.15064383068374385,0.951518691588785,0.9462920899136431,0.9512566236972896,0.9970555864301825,0.015999154167306955
25,0.0005,0.1390769579409257,0.9499958190484155,0.9420809163029511,0.9975183643280663,0.007334534680326189,0.15460236440195102,0.9485981308411215,0.9422917703662487,0.9485038558791801,0.9966949920570332,0.013258463924865304
26,0.0005,0.11972241217971535,0.9571870557738942,0.9516472489896939,0.9981125878604555,0.006642727893869678,0.1492224669902124,0.9468457943925234,0.9420538350510932,0.9463771442592716,0.9970280918077739,0.010759619679085227
27,0.0005,0.11124293810174521,0.9599464838197174,0.9554216615443333,0.998365934398568,0.008629831268830313,0.12629612298490844,0.959696261682243,0.9558260537562362,0.9598335597631233,0.9976806174415408,0.012327652526705197
28,0.0005,0.11098346061825762,0.9596956267246425,0.9543387236787568,0.9983790938186796,0.007936081180055423,0.13318365436291027,0.9567757009345794,0.9522626643663705,0.956763178935434,0.9975553313192476,0.01531262251206537
29,0.0005,0.1105322845729361,0.9614516263901663,0.9559168076984452,0.9984204576191931,0.008178894494665889,0.1309011287499811,0.951518691588785,0.9457948794583224,0.9514718602708656,0.9976761076245704,0.011483148301121675
30,0.0005,0.11265176481759133,0.960448198009867,0.9545594229814479,0.9983205469146945,0.0055304589064103776,0.13030601606190761,0.9567757009345794,0.9529946261023832,0.9568997396808347,0.9975510636868616,0.010877475494637122
31,0.00025,0.10452438578307405,0.9620369596120077,0.9570229199978777,0.9985914948095791,0.007208180810941921,0.14109361784480443,0.9579439252336449,0.9541565829352232,0.9578608245419707,0.9973638673129555,0.01665255686117426
32,0.00025,0.09264021262449258,0.9676394347353457,0.9631595836840395,0.9988372842311732,0.007811392519523865,0.12638604863781797,0.9573598130841121,0.9522838264144489,0.9573249316661767,0.9977373425328109,0.010069937175803307
33,0.00025,0.08881272139462731,0.9674721966719625,0.9620575436053578,0.9989496454837066,0.00630077300093098,0.12808437589730057,0.955607476635514,0.9519702024358598,0.9554820070378618,0.9977906578629294,0.009006605386384627
34,0.00025,0.08535529711539255,0.9689773392424116,0.9643620691154822,0.999040454471968,0.009390858589405098,0.1283869831082977,0.9567757009345794,0.9524388404073085,0.9568411595501272,0.9978427438127704,0.011719036724647051
35,0.000125,0.08854007702256955,0.968224767957187,0.9639070176563853,0.9989256291898607,0.007299426606921224,0.12895316261554432,0.955607476635514,0.951850794955754,0.9554541926210738,0.9977576194386432,0.00887761626042175
