epoch,lr,train_loss,train_accuracy,train_macro_f1,train_macro_auc_ovr,train_ece,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_macro_auc_ovr,val_ece
1,0.001,0.9412408055783873,0.6656074922652395,0.6034575294837282,0.9202102851161831,0.04871493747753771,0.5247041176412707,0.8031542056074766,0.7390029520523633,0.792096094546258,0.97287430135983,0.04085362157746516
2,0.001,0.5195868777704434,0.8160381302784514,0.7785516838648507,0.9702711191609685,0.025631515702641237,0.41041710861375397,0.8522196261682243,0.8215073832335784,0.8505106595197066,0.982211742750377,0.0390915838841086
3,0.001,0.4408672843397895,0.845304791370516,0.8129573916914091,0.978039621483595,0.021210576129011414,0.3326161109676985,0.8814252336448598,0.8625304661475584,0.8823527575843082,0.9867536747803405,0.030965552516623678
4,0.001,0.39653272921449517,0.8616105025503805,0.8339197963581517,0.9819351378491303,0.018840904994245136,0.30876925044527676,0.8925233644859814,0.8739718012944157,0.8928124011459697,0.9883955367205421,0.028174155668910482
5,0.001,0.3483910443307524,0.8757421189062631,0.8511688295926572,0.9859938610183694,0.013038589717677178,0.31139935065652724,0.8820093457943925,0.8627980501848165,0.8830833808778599,0.9898119102820673,0.013490485375585063
6,0.001,0.33103652506909725,0.8837695459486579,0.8602491266882522,0.987073885341676,0.01348891995375526,0.27201483071407423,0.9123831775700935,0.8957531488526351,0.9110339448365554,0.9913257036066266,0.02861333907550051
7,0.001,0.3023784990688064,0.8922986871812024,0.870965768912345,0.9892331645107859,0.011606929108567008,0.30162085091399254,0.8878504672897196,0.8682071077361979,0.8848156165582807,0.9919784599258499,0.011057190988568577
8,0.001,0.2868446581129825,0.8976503052094656,0.8790964211745004,0.990429493272628,0.010898627011598402,0.26357079011814616,0.9106308411214953,0.8974632227007626,0.9095750394829761,0.9924460600625187,0.018135547468947286
9,0.001,0.27924953436101896,0.8991554477799147,0.8802039092848941,0.9908131620212615,0.010438229435970912,0.2391484732104239,0.9147196261682243,0.9004256748704659,0.9146539761657727,0.9930828715901798,0.01996858109621831
10,0.001,0.2573860993013702,0.9083535412659921,0.8904038050054528,0.9918761097992768,0.009209807170442291,0.2154147668141071,0.9217289719626168,0.9096626954089803,0.9220326195165615,0.9947219296100985,0.018107977507241243
11,0.001,0.24147969088343854,0.9124508738188811,0.8971375125709437,0.9930092011668795,0.008756519812766289,0.22394197663971196,0.9199766355140186,0.9078122142071988,0.9203967736784282,0.9940880692979386,0.014020799786184049
12,0.001,0.23578263028866772,0.9140396354210218,0.8988964208115738,0.9933440901332,0.010028879334795768,0.2209904214767652,0.9299065420560748,0.9233381220779884,0.9290826687025041,0.9946562346305126,0.01896385991021488
13,0.001,0.2221342965266469,0.9207291579563509,0.9054270232086552,0.9939003594198063,0.007490181742901239,0.20954372726868245,0.9205607476635514,0.9120014653209184,0.9220064412864322,0.9949702580226556,0.014407680618187924
14,0.001,0.20552859022292577,0.9264152521113805,0.913425782860531,0.9948196566891128,0.009611361177783143,0.1882107069837713,0.9304906542056075,0.919663100920006,0.930387287963176,0.9958709783804754,0.01093698310606376
15,0.001,0.20345989109152227,0.9261643950163058,0.9121501943632235,0.9948795801569124,0.008747972689670733,0.18071205663346798,0.9404205607476636,0.9333200704388933,0.940069078010102,0.9962170556862848,0.018252712267800442
16,0.001,0.19624467737345366,0.9286729659670541,0.9180230011372595,0.9952771973242536,0.0061116324261016805,0.17196034048205225,0.9398364485981309,0.9318079891621864,0.9398507015341321,0.9960986194527315,0.006731124604836472
17,0.001,0.1869970844752195,0.9310142988544192,0.9201957234954985,0.9955831395534338,0.008373203893712051,0.17698877938439914,0.9392523364485982,0.9337375897416273,0.9392747920846313,0.9959342201468434,0.011406469651802763
18,0.001,0.17638805275327366,0.936700393009449,0.9260326692815479,0.9960701436422715,0.00756393134766176,0.16908774657227169,0.9445093457943925,0.9377680959460444,0.9445187335625875,0.9962292450872525,0.014814275028710008
