epoch,lr,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,0.0005,0.49881726826839157,0.8163726064052178,0.7822214671320386,0.7827571168124119,0.7529205607476636,0.7011734247466359,0.7480029664418986
2,0.0005,0.28284151993554235,0.8990718287482231,0.8801441665844806,0.2629100893423936,0.8995327102803738,0.8907715173927712,0.9006296674848177
3,0.0005,0.23686297525330047,0.9149594447696295,0.9005717426462794,0.2735724358636642,0.9007009345794392,0.8861748359573414,0.9007175776572813
4,0.0005,0.21037495694852051,0.9280040137135211,0.9170366139719826,0.19675016751356214,0.9299065420560748,0.9220084002774884,0.9287538618159726
5,0.0005,0.18622687174525485,0.9344426791537754,0.9229474745783642,0.7921142227181764,0.7815420560747663,0.7089899015753626,0.7633280713311024
6,0.0005,0.16381303385025942,0.9418847729743289,0.9336477450461653,0.2963889653437606,0.8989485981308412,0.8843187448925125,0.9017097129615452
7,0.0005,0.1517025523559935,0.9453967723053767,0.9382577124989164,0.32501929357787157,0.8896028037383178,0.8734899734171488,0.8890795707288045
8,0.00025,0.14248929525689644,0.9479053432561251,0.9406959227587104,0.7685517830269359,0.8014018691588785,0.7804617121411748,0.794472458841865
9,0.00025,0.0931159115568313,0.9671377205451961,0.9632646952918457,0.10995990970981455,0.9632009345794392,0.9581148428952807,0.9631475969197989
10,0.00025,0.08176450334406485,0.9716531482565431,0.9696143265461609,0.13770096978851568,0.9521028037383178,0.9455547512323312,0.9519162939086769
11,0.00025,0.07734910474635505,0.9731582908269922,0.9697841815346645,0.12498955177926571,0.9620327102803738,0.9589476536315032,0.96195583760908
12,0.00025,0.06594270716090098,0.9765866711263483,0.9742829507181023,0.18928614384103043,0.9310747663551402,0.9230069141332676,0.93030504051675
13,0.00025,0.06660894362204688,0.976001337904507,0.9735963334008221,0.1598720557500269,0.9462616822429907,0.938904959657101,0.9460291221670366
14,0.00025,0.06997361055430695,0.9767539091897316,0.9736407867131196,0.3342062351859619,0.8960280373831776,0.8752965197454022,0.8968365634738689
15,0.000125,0.06545015762441932,0.9776737185383393,0.9753341019636141,0.13051476837875686,0.9538551401869159,0.9466374401696883,0.9532129765340221
16,0.000125,0.04606435267819002,0.9824400033447612,0.9810501586790812,0.10817367423360592,0.9620327102803738,0.959681698871139,0.9615061878064594
17,0.000125,0.035648039924589044,0.987457145246258,0.9864238328483772,0.10571669244042067,0.9637850467289719,0.9611818163522388,0.96361929344186
18,0.000125,0.040849950158014896,0.9853666694539677,0.9836602890595275,0.13340337727671472,0.9591121495327103,0.9555852206487685,0.9585896615076056
19,0.000125,0.029953915223034443,0.9895476210385483,0.9885832046139222,0.11312331621334931,0.9661214953271028,0.9636624732691808,0.9659584359155908
20,0.000125,0.03433418235454893,0.9870390500878,0.9860224847366446,0.1524690017800465,0.9620327102803738,0.9595514182308698,0.9616537772517667
21,0.000125,0.03267988912248474,0.988962287816707,0.988330578654655,0.17840380702063302,0.945677570093458,0.9415793297712698,0.9442427104379701
22,0.000125,0.030124302834642454,0.9892131449117819,0.9880707575252756,0.11222013462091161,0.9661214953271028,0.964484578031942,0.9663673553708194
23,0.000125,0.025763656755575858,0.9899657161970065,0.9893053038026715,0.13496609644912114,0.9649532710280374,0.9608081698585355,0.9644957088265801
24,0.000125,0.02177272157922533,0.9928923823062129,0.992012876266531,0.16684998000893636,0.9544392523364486,0.9470608124871638,0.9541779495789809
25,0.000125,0.021257520716581924,0.9933940964963626,0.9929650705696813,0.11407375196430171,0.9632009345794392,0.9611571834591364,0.9632589331118441
26,6.25e-05,0.025200565175425647,0.9915544777991471,0.9906757656478522,0.2253966335659829,0.9398364485981309,0.9347449673532989,0.9406943942107605
27,6.25e-05,0.01819146945562294,0.9938958106865122,0.9935681281138458,0.10518678437883609,0.9702102803738317,0.9682242671688486,0.9702980008993246
28,6.25e-05,0.012295844620391969,0.9960699055104942,0.9958531169998757,0.08839828903987029,0.9731308411214953,0.972867211218596,0.973045950371972
29,6.25e-05,0.011833206102794336,0.9966552387323355,0.9963836893498759,0.09735145607841349,0.969626168224299,0.9678100404755021,0.9695187668341403
30,6.25e-05,0.00970808076036396,0.9974914290492516,0.9974150293859048,0.10396424256195531,0.9707943925233645,0.9695856708145063,0.9706935486369721
31,6.25e-05,0.00961199716319625,0.9972405719541768,0.9971827672991675,0.09998444377261902,0.9719626168224299,0.9707960209129041,0.9717625413221633
32,3.125e-05,0.008569280205557556,0.9980767622710929,0.9978580799660585,0.098617999770931,0.9702102803738317,0.9682089105166232,0.9702767032444921
33,3.125e-05,0.005476943826132648,0.9986620954929342,0.9984669232224801,0.09276767924567249,0.9748831775700935,0.9725988676845614,0.9747827513366042
34,3.125e-05,0.007427979411548906,0.9976586671126348,0.9976028107537562,0.10295052575730831,0.969626168224299,0.9676316447194027,0.969299685331533
35,3.125e-05,0.006748729449800336,0.9978259051760181,0.9977119527812957,0.10063515283236994,0.9713785046728972,0.9701387814967521,0.9711780038498021
36,1.5625e-05,0.006698415062502176,0.9985784764612425,0.9986051626699521,0.09433549294404894,0.9713785046728972,0.9703157892049313,0.9713078960806183
37,1.5625e-05,0.004595364797555109,0.9986620954929342,0.9986920184101824,0.09602114349325126,0.9725467289719626,0.9713138780731735,0.972395868840271
38,1.5625e-05,0.005227266156439927,0.9988293335563174,0.9988203730265605,0.09423361175528197,0.9754672897196262,0.9743709371327703,0.9753534287370318
39,1.5625e-05,0.005000122360625348,0.9988293335563174,0.998845080690896,0.09551796553847945,0.9719626168224299,0.9713720837936692,0.9718849218887566
40,1.5625e-05,0.004937692958020837,0.9983276193661678,0.9981475805820051,0.09219688998761578,0.9731308411214953,0.9725731982654999,0.9730641158993603
41,1.5625e-05,0.004266341950885191,0.9986620954929342,0.9986302664849391,0.10660400373913417,0.9707943925233645,0.9687823887928403,0.970528676783342
42,1.5625e-05,0.003901203708647336,0.9989965716197007,0.9988360075186735,0.09263490613932922,0.9754672897196262,0.9748577911804177,0.9753944216956169
43,1.5625e-05,0.004238513241482998,0.998912952588009,0.998976707352395,0.09404862344822038,0.9742990654205608,0.973306931106291,0.9743174445225414
44,1.5625e-05,0.004446303931860254,0.9989965716197007,0.9989106980443876,0.09894264043770104,0.9719626168224299,0.9697929777920233,0.9718356550780455
45,1.5625e-05,0.0039037699369679868,0.9994146667781587,0.9993468416248541,0.09571657100013484,0.9748831775700935,0.9738784112715839,0.9747773280060765
46,7.8125e-06,0.003495888102331462,0.9994146667781587,0.9992798771626425,0.09771993644883699,0.9731308411214953,0.9716259056443068,0.9730190410021949
47,7.8125e-06,0.0038716242083980143,0.9991638096830838,0.9990407207801306,0.09791594896918145,0.9719626168224299,0.970481051335303,0.9718429262584186
48,7.8125e-06,0.003010033638401044,0.9994982858098503,0.9995695589320619,0.09659642315356531,0.9725467289719626,0.9701628202307211,0.9724153786420126
49,7.8125e-06,0.0034996596171932384,0.9989965716197007,0.9990742004538239,0.09517394897536696,0.9731308411214953,0.9715257855802721,0.9730484087964766
50,3.90625e-06,0.002397040418025319,0.999581904841542,0.9996755120616467,0.09756519220699773,0.9737149532710281,0.9719200261852319,0.9736211080651043
